colaborador_id,area,nivel_cargo,genero,raca,data_admissao,idade,salario_base_inicial,tempo_casa_meses,engajamento_medio,horas_extras_media,performance_media
1,Tecnologia,Sênior,F,Parda,2018-09-25,37,11366.628603565694,90,65.45268735338848,19.118530073795455,3.030411228411451
2,Backoffice,Sênior,M,Parda,2018-04-30,27,10410.136523857049,95,75.13081253688527,11.53508415958913,3.2174565868697083
3,Produtos Digitais,Pleno,M,Branca,2016-10-04,34,9098.936869724936,114,73.57162772586433,12.552987575253773,3.0592990457958957
4,Risco & Compliance,Líder,F,Branca,2021-01-25,33,18049.780472363407,62,73.9070165433221,11.765565625688957,3.263136745411305
5,Comercial,Júnior,M,Parda,2019-10-06,35,2824.5982711908737,78,65.31026142262235,15.165293287949064,2.800108955720926
6,Comercial,Júnior,F,Amarela,2023-08-26,34,3077.978711201071,30,63.85618105621455,10.602233935443836,2.696633799055388
7,Comercial,Sênior,M,Branca,2015-04-28,36,11244.445447573684,132,64.60756243319543,14.33726517285488,3.1900099044275656
8,Backoffice,Pleno,M,Branca,2021-06-08,32,5393.336681841073,57,73.2276500803547,11.245330989781548,3.3206495002669807
9,Risco & Compliance,Sênior,F,Parda,2022-08-16,34,12056.091813475903,43,74.60133035770089,13.492716939731908,2.9922093116671786
10,Crédito,Sênior,F,Amarela,2022-08-04,26,9807.689202852853,43,71.32780883660955,10.570377002319278,3.1460894308584106
11,Comercial,Júnior,F,Parda,2023-11-09,32,2553.2820325062085,28,62.89768628761336,10.830259699016983,2.7666813991944497
12,Backoffice,Sênior,M,Não declarado,2022-04-14,42,10240.178231966058,47,71.9299402616747,14.895839573827159,2.996077668756145
13,Produtos Digitais,Pleno,M,Branca,2024-04-09,35,8735.317624568905,23,76.0026482062768,13.244905819441682,3.1051242933491507
14,Comercial,Pleno,M,Branca,2018-04-29,33,6520.158938134128,95,65.46704594775633,9.138666490709006,2.8388933035159796
15,Comercial,Pleno,F,Parda,2020-01-11,45,6774.048308198692,74,64.50885371597091,10.925889467087458,3.145347567409002
16,Comercial,Sênior,F,Parda,2015-02-21,25,8853.718935460853,134,63.62743292299309,11.566580259438064,3.018036997829956
17,Tecnologia,Júnior,F,Branca,2015-01-26,27,3448.483108106649,135,68.01547166618005,16.415432709022017,2.9700339260320683
18,Risco & Compliance,Pleno,F,Branca,2017-05-26,44,7399.375342340139,106,71.94118586317036,10.381334229410198,2.7449815409318497
19,Tecnologia,Pleno,M,Parda,2016-01-03,34,6773.781444987795,123,69.50929572339864,20.549182758480438,2.930002934445847
